tattoo	date	pm	socg	sett	supergroup	weight	toothwear	condition	body_length	temp	neck_diameter	captureyear	sex	age	age_years	statpak	IFNgamma	cult_SUM	cult_OA	cult_TA	cult_FAECES	cult_URINE	cult_OTHER	CaptureDate	VisualLine1	OpticalDensity1	VisualLine2	OpticalDensity2	PM	brock
UN001	13/12/1975	Yes	OUTSIDE	A46_SO_841017	NA	14.6	NA	VERY_GOOD	NA	NA	NA	1975	MALE	ADULT	NA	NA	NA	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
GX001	09/02/1976	No	BEECH	BEECH	BEECH	9	0.25	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
GX002	16/02/1976	No	BEECH	BEECH	BEECH	10.9	0.25	FAIR	NA	NA	NA	1976	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX003	24/02/1976	No	YEW	YEW	YEW	9	0.75	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX004	30/03/1976	No	YEW	YEW	YEW	9.1	0.75	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
GX005	18/05/1976	No	TOP_SETT	TOP_SETT	TOP_SETT	8.3	0.25	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX006	07/06/1976	No	TOP_SETT	TOP_SETT	TOP_SETT	9.7	0.5	FAIR	NA	NA	NA	1976	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX007	22/06/1976	No	TOP_SETT	TOP_SETT	TOP_SETT	9	0.25	VERY_GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX009	19/07/1976	No	BEECH	BEECH	BEECH	7.5	0.75	FAIR	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
W001	20/09/1976	No	WEST	WEST	WEST	7.9	0.75	POOR	NA	NA	NA	1976	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G001	08/11/1976	No	CEDAR	CEDAR	CEDAR	9.9	0.75	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
G002	08/11/1976	No	CEDAR	TOWER25	CEDAR	10.9	0.5	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
G044	08/11/1976	No	HONEYWELL	PLATFORDS_SE_9	HONEYWELL	14.9	0.5	VERY_GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
G004	07/02/1977	No	YEW	SECOND_PASTURE_7	YEW	8.8	0.25	NA	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G005	15/02/1977	No	TOP_SETT	PONTINS_PLANTATIO?N	TOP_SETT	NA	NA	GOOD	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G006	15/02/1977	No	TOP_SETT	THIRD_PASTURE_02	TOP_SETT	NA	0.25	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN002	16/02/1977	Yes	ATCOMBE_WEST	BOWNHILL_FARM	NA	5.9	NA	POOR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN003	15/03/1977	Yes	COLE_PARK	COLE_PARK	COLE_PARK	5	NA	POOR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN004	25/03/1977	Yes	HOGARTHS	OS_REF_825000	NA	6.5	NA	POOR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
G005	21/04/1977	Yes	TOP_SETT	THIRD_PASTURE_2	TOP_SETT	9.5	0	NA	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
UN005	21/04/1977	Yes	COLLIERS_WOOD	TINKLEY_LANE	COLLIERS_WOOD	9.2	NA	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G007	03/05/1977	No	YEW	PLAIN_EIGHT	YEW	6	0.25	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
RM001	10/05/1977	Yes	BEECH	BEECH	BEECH	6	0	POOR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
G007	12/05/1977	Yes	YEW	MINIS_OUTLIER	YEW	5	NA	POOR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	4	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA
GX002	22/05/1977	No	BEECH	FARMPIECE_MID	BEECH	NA	NA	POOR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G008	23/05/1977	No	WEST	GLIDER_FIELD_23	WEST	8.8	0.25	GOOD	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA
G009	24/05/1977	No	HONEYWELL	PLATFORDS_SE_19	HONEYWELL	2.8	0	NA	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G010	30/05/1977	No	YEW	STONESHARD_WOOD	YEW	8.3	0.75	FAIR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G011	30/05/1977	No	WEST	WEST	WEST	3.1	0	GOOD	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G012	31/05/1977	No	YEW	TAXUS	YEW	2.6	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
G013	01/06/1977	No	WEST	WEST	WEST	8.1	0.25	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
G014	02/06/1977	No	YEW	TAXUS	YEW	2.6	0	GOOD	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G015	08/06/1977	No	CEDAR	SYCAMORE	CEDAR	4	0	NA	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G017	08/06/1977	No	YEW	TAXUS	YEW	7.5	0.25	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G018	09/06/1977	No	CEDAR	RABBIT	CEDAR	3.1	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G019	09/06/1977	No	LARCH	WEST_MARMON_RD	LARCH	7.6	0.75	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G020	10/06/1977	No	YEW	YEW	YEW	7.1	0.5	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G021	10/06/1977	No	CEDAR	SYCAMORE	CEDAR	8	0.5	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
G024	10/06/1977	No	CEDAR	SYCAMORE	CEDAR	3.1	0	NA	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G025	10/06/1977	No	YEW	YEW	YEW	7.6	0.5	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G026	13/06/1977	No	YEW	YEW	YEW	2.4	0	FAIR	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G027	15/06/1977	No	YEW	PLAIN_EIGHT	YEW	2.6	0	FAIR	NA	NA	NA	1977	MALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G028	18/06/1977	No	ARTHURS	ARTHURS	ARTHURS	3.8	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
G029	18/06/1977	No	ARTHURS	ARTHURS	ARTHURS	3.6	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	0	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
G030	20/06/1977	No	ARTHURS	ARTHURS	ARTHURS	5.3	0.25	FAIR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G031	20/06/1977	No	ARTHURS	ARTHURS	ARTHURS	9.4	0.5	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G032	22/06/1977	No	ARTHURS	ARTHURS	ARTHURS	NA	0.5	GOOD	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
G034	22/06/1977	No	ARTHURS	ARTHURS	ARTHURS	4.5	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN007	23/06/1977	Yes	YEW	TINKLEY_LANE	YEW	3.5	NA	POOR	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G035	27/06/1977	No	ARTHURS	ARTHURS	ARTHURS	4.7	0	GOOD	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G036	29/06/1977	No	JUNCTION	JUNCTION	JUNCTION	3.2	0	FAIR	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN008	29/06/1977	Yes	OUTSIDE	SO_845000	NA	10.1	NA	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
UN009	29/06/1977	Yes	PARK_MILL	PARK_MILL	PARK_MILL	6.4	NA	POOR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G037	05/07/1977	No	JUNCTION	JUNCTION	JUNCTION	3.6	0	GOOD	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G038	05/07/1977	No	JUNCTION	JUNCTION	JUNCTION	3.2	0	NA	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G039	05/07/1977	No	ARTHURS	BANK	ARTHURS	4	0	GOOD	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G042	06/07/1977	No	JUNCTION	JUNCTION	JUNCTION	7.5	0.25	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G043	14/07/1977	No	LARCH	LARCH	LARCH	4.2	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G010	18/07/1977	No	BEECH	OLD_BYRE	BEECH	6	0.75	POOR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G046	18/07/1977	No	ARTHURS	MEAD	ARTHURS	9	0.5	NA	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G010	19/07/1977	Yes	BEECH	OLD_BYRE	BEECH	6.5	0.75	POOR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
UN010	19/07/1977	Yes	TOP_SETT	LYNCH_KNOLL	TOP_SETT	4.6	NA	FAIR	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN011	19/07/1977	Yes	NETTLE	TRACK_BELOW_NETTL?E	NETTLE	2.3	NA	POOR	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G048	21/07/1977	No	LARCH	LARCH	LARCH	NA	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN012	22/07/1977	Yes	BAMBOO	SO_836019	NA	8.1	NA	POOR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
RM003	25/07/1977	Yes	BEECH	BEECH	BEECH	3.8	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
RM004	25/07/1977	Yes	BEECH	BEECH	BEECH	4.3	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
RM005	25/07/1977	Yes	BEECH	BEECH	BEECH	6.9	0	NA	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
RM006	25/07/1977	Yes	BEECH	BEECH	BEECH	3.7	0	GOOD	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
RM007	25/07/1977	Yes	BEECH	BEECH	BEECH	4	0	GOOD	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
RM008	25/07/1977	Yes	BEECH	BEECH	BEECH	2.8	0	POOR	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
RM002	26/07/1977	Yes	BEECH	BEECH	BEECH	6.4	0	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX002	28/07/1977	Yes	BEECH	BEECH	BEECH	5.4	NA	POOR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	4	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA
RM009	28/07/1977	Yes	BEECH	BEECH	BEECH	7.8	0.75	POOR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
RM010	28/07/1977	Yes	BEECH	BEECH	BEECH	6.8	0.25	NA	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G003	06/09/1977	No	BEECH	ELDER_OUTLIER	BEECH	10.4	0.25	GOOD	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UN066	06/09/1977	Yes	PEGLARS	TINKLEY_LANE	PEGLARS	NA	NA	NA	NA	NA	NA	1977	NA	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G004	19/09/1977	No	YEW	YEW	YEW	9	0	GOOD	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G020	19/09/1977	No	YEW	YEW	YEW	7.1	0.5	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G017	21/09/1977	No	YEW	TAXUS	YEW	8.3	0.5	NA	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
G033	27/09/1977	No	SEPTIC_TANK	HOME_GROUND_OUTLI?ER	SEPTIC_TANK	7.8	0.5	FAIR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G044	28/09/1977	No	YEW	PLAIN_8_MIDDLE	YEW	9.3	0.75	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G025	03/10/1977	No	YEW	PLAIN_EIGHT	YEW	10.8	0.75	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G049	01/11/1977	No	BEECH	BEECH	BEECH	9.7	0.75	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G030	05/12/1977	No	ARTHURS	MEAD	ARTHURS	7.5	0	NA	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UN013	19/01/1978	Yes	LISTERS	BOWNHILL_FARM	NA	8.1	NA	POOR	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
UN015	08/02/1978	Yes	OUTSIDE	STANLEY_WOOD	NA	13.6	NA	GOOD	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
G015	13/02/1978	Yes	CEDAR	PLATFORDS_18_ACRE?_33	CEDAR	NA	NA	NA	NA	NA	NA	1978	MALE	ADULT	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G050	24/02/1978	No	ARTHURS	MEAD	ARTHURS	8.5	0.25	GOOD	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G004	27/02/1978	Yes	YEW	PLANE_12_11	YEW	8.5	0	NA	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
G035	01/03/1978	No	ARTHURS	MEAD	ARTHURS	7.9	0.25	GOOD	NA	NA	NA	1978	FEMALE	ADULT	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G028	07/03/1978	No	ARTHURS	MEAD	ARTHURS	7.9	0.25	GOOD	NA	NA	NA	1978	MALE	ADULT	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R002	07/03/1978	No	ARTHURS	ELM_OUTLIER	ARTHURS	8.8	0.75	GOOD	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UN016	30/03/1978	Yes	INCHBROOK	INCHBROOK	INCHBROOK	4.4	NA	POOR	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
G032	05/05/1978	Yes	ARTHURS	TINKLEY_PLAY_FIEL?D	ARTHURS	11.9	0.5	GOOD	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN017	05/05/1978	Yes	ATCOMBE_CORNER	S._WOODCHESTER	NA	7.7	NA	POOR	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
UN067	17/05/1978	Yes	OUTSIDE	A46_EGYPT_MILLS	NA	9.8	NA	NA	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G017	18/05/1978	No	YEW	YEW	YEW	8	0.5	FAIR	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G019	18/05/1978	No	LARCH	LARCH	LARCH	7.5	0.75	NA	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G025	18/05/1978	No	YEW	YEW	YEW	9.2	0.75	GOOD	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R003	18/05/1978	No	YEW	TAXUS	YEW	8.2	0.25	FAIR	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R004	18/05/1978	No	WEST	WEST	WEST	4	0	NA	NA	NA	NA	1978	MALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R005	18/05/1978	No	LARCH	LARCH	LARCH	2.6	0	FAIR	NA	NA	NA	1978	FEMALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R006	18/05/1978	No	LARCH	LARCH	LARCH	2.5	0	FAIR	NA	NA	NA	1978	FEMALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R007	18/05/1978	No	WEST	WEST	WEST	2.5	0	FAIR	NA	NA	NA	1978	MALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R008	24/05/1978	No	HONEYWELL	HONEYWELL	HONEYWELL	8.4	0.75	FAIR	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R009	24/05/1978	No	OLD_OAK	OLD_OAK	OLD_OAK	9.4	0.75	GOOD	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R010	24/05/1978	No	OLD_OAK	OLD_OAK	OLD_OAK	8.6	1	GOOD	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R011	24/05/1978	No	HONEYWELL	HONEYWELL	HONEYWELL	3	0	GOOD	NA	NA	NA	1978	FEMALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R012	24/05/1978	No	HONEYWELL	HONEYWELL	HONEYWELL	3.6	0	VERY_GOOD	NA	NA	NA	1978	MALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R013	24/05/1978	No	LARCH	LARCH	LARCH	2.4	0	VERY_GOOD	NA	NA	NA	1978	FEMALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R014	24/05/1978	No	LARCH	LARCH	LARCH	2.6	0	VERY_GOOD	NA	NA	NA	1978	FEMALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R015	24/05/1978	No	HEDGE	TINKLEY_OUTLIER	HEDGE	9	0.5	GOOD	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G020	25/05/1978	No	YEW	YEW	YEW	7.6	0.5	GOOD	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R016	25/05/1978	No	BEECH	BEECH	BEECH	2.2	0	NA	NA	NA	NA	1978	FEMALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R017	25/05/1978	No	BEECH	BEECH	BEECH	NA	0	NA	NA	NA	NA	1978	MALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R018	25/05/1978	No	YEW	TAXUS	YEW	6.8	0.5	FAIR	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R019	25/05/1978	No	COLE_PARK	COLE_PARK	COLE_PARK	9.6	0.5	GOOD	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R020	26/05/1978	No	YEW	YEW	YEW	2.4	0	NA	NA	NA	NA	1978	FEMALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R021	26/05/1978	No	YEW	YEW	YEW	2.9	0	FAIR	NA	NA	NA	1978	FEMALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R022	26/05/1978	No	OLD_OAK	TOP_OAK	OLD_OAK	8.2	0.25	GOOD	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G003	29/05/1978	Yes	BEECH	QUARRY_FIELD_18	BEECH	7.3	0	POOR	NA	NA	NA	1978	MALE	ADULT	NA	NA	NA	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
R023	01/06/1978	No	COLLIERS_WOOD	COLLIERS_WOOD	COLLIERS_WOOD	8	0.5	GOOD	NA	NA	NA	1978	FEMALE	ADULT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
